fullVisitorId,productSKU,productName,quantity,totalValue,consecutiveWeeksCount,lastWeek
009940587374167418,GGOENEBB081499,Nest® Cam Indoor Security Camera - CA,1,149000000,1,2017-05-18
0134543573456503980,GGOEGDHQ015399,26 oz Double Wall Insulated Bottle,1,19990000,1,2016-11-03
0134543573456503980,GGOEGEVR014999,Google Water Resistant Bluetooth Speaker,1,27990000,1,2016-11-03
0134543573456503980,GGOEGFKQ020399,Google Laptop and Cell Phone Stickers,1,1590000,1,2016-11-03
0220950878922124751,GGOEAOCH014199,Android Journal Book Set,4,35960000,1,2016-10-24
0399898640502614509,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2016-12-18
040111204275139283,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,2,238000000,1,2016-11-29
0412219395222494542,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,1,119000000,1,2016-12-10
0412717133781136097,GGOENEBB081499,Nest® Cam Indoor Security Camera - CA,1,149000000,1,2017-01-03
0445232572942957923,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,2,238000000,1,2017-02-14
0481361866832333678,GGOEGOAQ018099,Pen Pencil & Highlighter Set,3,11970000,1,2016-08-15
0544022299940204495,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,2,298000000,1,2016-11-25
0561666321092442666,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2017-01-03
0656598069187326771,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,2,298000000,1,2016-11-23
0656598069187326771,GGOENEBQ079199,Nest® Protect Smoke + CO White Wired Alarm-USA,2,158000000,1,2016-11-23
0669174691212779276,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,1,119000000,1,2017-04-24
067516997967648879,GGOEGAEJ029913,Google Women's V-Neck Tee Charcoal,1,15190000,1,2016-09-06
069473251386882537,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,3,447000000,1,2016-12-12
069473251386882537,GGOENEBQ079199,Nest® Protect Smoke + CO White Wired Alarm-USA,3,237000000,1,2016-12-12
0700526697601617367,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,1,119000000,1,2016-12-15
0700526697601617367,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,1,119000000,1,2016-12-15
0710632165228073636,GGOEGOLC014299,Google Metallic Notebook Set,200,1198000000,1,2017-06-12
0720258614729205103,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2017-01-24
